commodity_name,date,min_price,max_price,modal_price
Apple,9/13/2019,44.90491379,53.15146552,49.05758621
Apple,9/14/2019,37.0692,51.034,44.3468
Apple,9/15/2019,40.772,56.198,48.058
Apple,9/16/2019,42.59245455,54.78145455,48.79754545
Apple,9/17/2019,43.7,53.34291262,49.2061165
Apple,9/18/2019,42.30229358,52.71146789,47.98697248
Apple,9/19/2019,45.0753913,53.14756522,49.89773913
Apple,9/20/2019,42.8490991,50.69594595,46.66936937
Apple,9/21/2019,44.21845455,53.07709091,48.24072727
Apple,9/22/2019,39.9,53.93846154,47.61538462
Apple,9/23/2019,44.44663462,54.68932692,49.23076923
Apple,9/24/2019,42.24312,53.28912,47.76056
Apple,9/25/2019,41.21140351,54.11535088,47.26017544
Apple,9/26/2019,41.63768595,52.3368595,47.08157025
Apple,9/27/2019,41.95229358,52.39853211,47.50862385
Apple,9/28/2019,44.63858824,51.66858824,47.98564706
Apple,9/29/2019,45.32413793,51.38448276,47.74103448
Apple,9/30/2019,42.64477064,53.53275229,47.86944954
Apple,10/1/2019,39.49285714,54.72012987,46.65454545
Apple,10/2/2019,33.82205882,51.23411765,42.83411765
Apple,10/3/2019,41.30137615,51.74495413,46.06697248
Apple,10/4/2019,41.9121,51.066,46.4276
Apple,10/5/2019,41.54882353,50.36215686,46.01029412
Apple,10/6/2019,47.35185185,55.89814815,50.88703704
Apple,10/7/2019,30.56104167,45.895,38.73333333
Apple,10/8/2019,36.54964286,49.27571429,43.78428571
Apple,10/9/2019,41.07009615,52.49048077,47.11692308
Apple,10/10/2019,41.99329897,54.50154639,48.1642268
Apple,10/11/2019,41.00970874,49.64359223,45.47184466
Apple,10/12/2019,36.88628571,50.83514286,44.35371429
Apple,10/13/2019,42.44230769,52.34615385,48.15961538
Apple,10/14/2019,40.25851064,52.90723404,47.14393617
Apple,10/15/2019,43.35941176,54.34656863,49.26186275
Apple,10/16/2019,42.46415929,53.67778761,48.5540708
Apple,10/17/2019,41.35970297,51.14336634,46.64772277
Apple,10/18/2019,43.1137069,52.10905172,47.90310345
Apple,10/19/2019,43.67193548,52.38903226,48.19967742
Apple,10/20/2019,38.80434783,52.6,45.62391304
Apple,10/21/2019,45.20616279,52.46534884,48.63232558
Apple,10/22/2019,41.74830189,53.64,47.41386792
Apple,10/23/2019,43.4578125,52.61427083,47.99645833
Apple,10/24/2019,43.36134021,53.08061856,47.4628866
Apple,10/25/2019,40.71801802,49.90306306,45.29558559
Apple,10/26/2019,43.83074627,51.57850746,47.35641791
Apple,10/27/2019,39.99230769,48.71538462,44.63076923
Apple,10/28/2019,37.05,44.51,41.26
Apple,10/29/2019,31.64369565,49.54804348,40.20021739
Apple,10/30/2019,43.52438202,52.53337079,48.11966292
Apple,10/31/2019,42.25666667,51.29944444,46.352
Apple,11/1/2019,42.54255814,50.21872093,46.35418605
Apple,11/2/2019,48.78661017,55.64661017,51.82423729
Apple,11/3/2019,41.64615385,49.525,46.60384615
Apple,11/4/2019,45.0625,53.09147727,48.93636364
Apple,11/5/2019,53.16120482,63.23650602,57.99433735
Apple,11/6/2019,44.50217391,54.79673913,50.09021739
Apple,11/7/2019,44.47967033,53.24505495,48.84230769
Apple,11/8/2019,43.3245977,52.38252874,47.69091954
Apple,11/9/2019,41.10357143,57.01785714,47.10714286
Apple,11/10/2019,34.72692308,49.42307692,39.62692308
Apple,11/11/2019,42.17876543,52.51209877,47.95567901
Apple,11/12/2019,35.7125,48.45625,42.26458333
Apple,11/13/2019,44.3193,52.6598,48.6443
Apple,11/14/2019,44.795,49.89230769,47.04
Apple,11/15/2019,44.59637681,52.9826087,48.93333333
Apple,11/17/2019,42.34375,51.24791667,48.34583333
Apple,11/18/2019,45.40584906,54.62367925,49.66339623
Apple,11/19/2019,43.20375,53.28409091,48.13238636
Apple,11/20/2019,43.86333333,56.53481481,49.22049383
Apple,11/21/2019,43.76444444,52.9208642,47.45592593
Apple,11/22/2019,45.19454545,54.40961039,50.15272727
Apple,11/23/2019,45.91392405,52.18202532,49.67405063
Apple,11/24/2019,40.796875,48.728125,45.3125
Apple,11/25/2019,42.66920455,50.53693182,46.23738636
Apple,11/26/2019,44.65704225,53.42042254,48.37211268
Apple,11/27/2019,44.47142857,52.97326531,47.96489796
Apple,11/28/2019,46.49545455,53.75974026,49.8687013
Apple,11/29/2019,45.04302326,54.0255814,49.15395349
Apple,11/30/2019,48.6943662,55.86830986,51.85352113
Apple,12/1/2019,43.81,51.785,47.09
Apple,12/2/2019,46.19225,56.34425,50.4915
Apple,12/3/2019,45.94055556,53.602,49.32555556
Apple,12/4/2019,46.35805195,54.50012987,49.58948052
Apple,12/5/2019,45.65489362,53.15765957,48.71202128
Apple,12/6/2019,46.36054945,55.73010989,51.11186813
Apple,12/7/2019,48.67650602,55.21120482,51.62204819
Apple,12/8/2019,47.46842105,51.48789474,49.74473684
Apple,12/9/2019,46.3967033,56.45934066,51.7443956
Apple,12/10/2019,46.87383721,55.50360465,51.16709302
Apple,12/11/2019,47.39588235,56.23294118,52.31470588
Apple,12/13/2019,46.44147727,54.42704545,50.35488636
Apple,12/14/2019,43.645,56.63,47.8625
Apple,12/15/2019,50.16071429,52.38571429,51.12857143
Apple,12/16/2019,46.42388235,54.81117647,49.93317647
Apple,12/17/2019,46.21261905,56.87845238,51.20452381
Apple,12/18/2019,49.22833333,56.45433333,52.31611111
Apple,12/19/2019,47.84011628,56.47325581,51.47453488
Apple,12/20/2019,48.6345122,57.31926829,52.75890244
Apple,12/21/2019,49.21865672,55.09850746,51.99402985
Apple,12/22/2019,43.23333333,54.58666667,47.746
Apple,12/23/2019,47.5972093,57.56162791,52.57732558
Apple,12/24/2019,46.59974359,56.75128205,50.16435897
Apple,12/25/2019,40.355,58.14,43.395
Apple,12/26/2019,48.10949367,55.39037975,51.52468354
Apple,12/27/2019,49.82040541,58.47540541,53.54472973
Apple,12/28/2019,48.51571429,57.52314286,53.09785714
Apple,12/29/2019,46.83571429,55.82857143,52.31428571
Apple,12/30/2019,48.89208333,57.88361111,53.84541667
Apple,12/31/2019,46.40065574,56.07918033,51.17278689
Apple,3/1/2021,68.04814815,74.41296296,69.4
Apple,3/2/2021,68.70616438,77.55068493,72.86506849
Apple,3/3/2021,69.50785714,76.30571429,71.95714286
Apple,3/4/2021,67.85153846,75.06461538,71.38769231
Apple,3/5/2021,70.65683544,78.17113924,74.38253165
Apple,3/6/2021,67.49571429,72.80142857,70.60142857
